"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"ANSERIFORMES"	"ANATIDAE"	"Melanitta"	"perspicillata"	"Surf Scoter"	"LC"	27	3
"ANSERIFORMES"	"ANATIDAE"	"Melanitta"	"fusca"	"Velvet Scoter"	"EN"	27	0
"ANSERIFORMES"	"ANATIDAE"	"Melanitta"	"stejnegeri"	"Asian White-winged Scoter"	"LC"	27	4
"ANSERIFORMES"	"ANATIDAE"	"Melanitta"	"deglandi"	"American White-winged Scoter"	"LC"	27	5
"ANSERIFORMES"	"ANATIDAE"	"Merganetta"	"armata"	"Torrent Duck"	"LC"	28	0
"ANSERIFORMES"	"ANATIDAE"	"Mergellus"	"albellus"	"Smew"	"LC"	29	0
"ANSERIFORMES"	"ANATIDAE"	"Mergus"	"octosetaceus"	"Brazilian Merganser"	"CR"	30	0
"ANSERIFORMES"	"ANATIDAE"	"Mergus"	"serrator"	"Red-breasted Merganser"	"LC"	30	2
"ANSERIFORMES"	"ANATIDAE"	"Mergus"	"squamatus"	"Scaly-sided Merganser"	"EN"	30	1
"ANSERIFORMES"	"ANATIDAE"	"Mergus"	"merganser"	"Common Merganser"	"LC"	30	3
"ANSERIFORMES"	"ANATIDAE"	"Neochen"	"jubata"	"Orinoco Goose"	"NT"	31	0
"ANSERIFORMES"	"ANATIDAE"	"Netta"	"rufina"	"Red-crested Pochard"	"LC"	32	0
"ANSERIFORMES"	"ANATIDAE"	"Netta"	"peposaca"	"Rosy-billed Pochard"	"LC"	32	1
"ANSERIFORMES"	"ANATIDAE"	"Netta"	"erythrophthalma"	"Southern Pochard"	"LC"	32	2
"ANSERIFORMES"	"ANATIDAE"	"Nettapus"	"pulchellus"	"Green Pygmy-goose"	"LC"	33	0
"ANSERIFORMES"	"ANATIDAE"	"Nettapus"	"coromandelianus"	"Cotton Pygmy-goose"	"LC"	33	1
"ANSERIFORMES"	"ANATIDAE"	"Nettapus"	"auritus"	"African Pygmy-goose"	"LC"	33	2
"ANSERIFORMES"	"ANATIDAE"	"Nomonyx"	"dominicus"	"Masked Duck"	"LC"	34	0
"ANSERIFORMES"	"ANATIDAE"	"Oxyura"	"jamaicensis"	"Ruddy Duck"	"LC"	35	3
"ANSERIFORMES"	"ANATIDAE"	"Oxyura"	"leucocephala"	"White-headed Duck"	"EN"	35	0
"ANSERIFORMES"	"ANATIDAE"	"Oxyura"	"maccoa"	"Maccoa Duck"	"NT"	35	1
"ANSERIFORMES"	"ANATIDAE"	"Oxyura"	"vittata"	"Lake Duck"	"LC"	35	4
"ANSERIFORMES"	"ANATIDAE"	"Oxyura"	"australis"	"Blue-billed Duck"	"NT"	35	2
"ANSERIFORMES"	"ANATIDAE"	"Plectropterus"	"gambensis"	"Spur-winged Goose"	"LC"	36	0
"ANSERIFORMES"	"ANATIDAE"	"Polysticta"	"stelleri"	"Steller's Eider"	"VU"	37	0
"ANSERIFORMES"	"ANATIDAE"	"Pteronetta"	"hartlaubii"	"Hartlaub's Duck"	"LC"	38	0
"ANSERIFORMES"	"ANATIDAE"	"Rhodonessa"	"caryophyllacea"	"Pink-headed Duck"	"CR"	39	0
"ANSERIFORMES"	"ANATIDAE"	"Salvadorina"	"waigiuensis"	"Salvadori's Teal"	"VU"	40	0
"ANSERIFORMES"	"ANATIDAE"	"Sarkidiornis"	"melanotos"	"Comb Duck"	"LC"	41	0
"ANSERIFORMES"	"ANATIDAE"	"Somateria"	"mollissima"	"Common Eider"	"LC"	42	0
"ANSERIFORMES"	"ANATIDAE"	"Somateria"	"spectabilis"	"King Eider"	"LC"	42	1
"ANSERIFORMES"	"ANATIDAE"	"Somateria"	"fischeri"	"Spectacled Eider"	"LC"	42	2
"ANSERIFORMES"	"ANATIDAE"	"Speculanas"	"specularis"	"Spectacled Duck"	"NT"	43	0
"ANSERIFORMES"	"ANATIDAE"	"Stictonetta"	"naevosa"	"Freckled Duck"	"LC"	44	0
"ANSERIFORMES"	"ANATIDAE"	"Tachyeres"	"pteneres"	"Flightless Steamerduck"	"LC"	45	1
"ANSERIFORMES"	"ANATIDAE"	"Tachyeres"	"leucocephalus"	"White-headed Steamerduck"	"VU"	45	0
"ANSERIFORMES"	"ANATIDAE"	"Tachyeres"	"brachypterus"	"Falkland Steamerduck"	"LC"	45	2
"ANSERIFORMES"	"ANATIDAE"	"Tachyeres"	"patachonicus"	"Flying Steamerduck"	"LC"	45	3
"ANSERIFORMES"	"ANATIDAE"	"Tadorna"	"ferruginea"	"Ruddy Shelduck"	"LC"	46	1
"ANSERIFORMES"	"ANATIDAE"	"Tadorna"	"cana"	"South African Shelduck"	"LC"	46	2
"ANSERIFORMES"	"ANATIDAE"	"Tadorna"	"tadornoides"	"Australian Shelduck"	"LC"	46	3
"ANSERIFORMES"	"ANATIDAE"	"Tadorna"	"variegata"	"Paradise Shelduck"	"LC"	46	4
"ANSERIFORMES"	"ANATIDAE"	"Tadorna"	"cristata"	"Crested Shelduck"	"CR"	46	0
"ANSERIFORMES"	"ANATIDAE"	"Tadorna"	"tadorna"	"Common Shelduck"	"LC"	46	5
"ANSERIFORMES"	"ANATIDAE"	"Tadorna"	"radjah"	"Radjah Shelduck"	"LC"	46	6
"ANSERIFORMES"	"ANATIDAE"	"Thalassornis"	"leuconotus"	"White-backed Duck"	"LC"	47	0
"ANSERIFORMES"	"ANHIMIDAE"	"Anhima"	"cornuta"	"Horned Screamer"	"LC"	48	0
"ANSERIFORMES"	"ANHIMIDAE"	"Chauna"	"chavaria"	"Northern Screamer"	"NT"	49	0
"ANSERIFORMES"	"ANHIMIDAE"	"Chauna"	"torquata"	"Southern Screamer"	"LC"	49	1
"ANSERIFORMES"	"ANSERANATIDAE"	"Anseranas"	"semipalmata"	"Magpie Goose"	"LC"	50	0
"APODIFORMES"	"APODIDAE"	"Aeronautes"	"saxatalis"	"White-throated Swift"	"LC"	51	0
"APODIFORMES"	"APODIDAE"	"Aeronautes"	"montivagus"	"White-tipped Swift"	"LC"	51	1
"APODIFORMES"	"APODIDAE"	"Aeronautes"	"andecolus"	"Andean Swift"	"LC"	51	2
"APODIFORMES"	"APODIDAE"	"Apus"	"alexandri"	"Alexander's Swift"	"LC"	52	1
"APODIFORMES"	"APODIDAE"	"Apus"	"apus"	"Common Swift"	"LC"	52	2
"APODIFORMES"	"APODIDAE"	"Apus"	"unicolor"	"Plain Swift"	"LC"	52	3
"APODIFORMES"	"APODIDAE"	"Apus"	"niansae"	"Nyanza Swift"	"LC"	52	4
"APODIFORMES"	"APODIDAE"	"Apus"	"pallidus"	"Pallid Swift"	"LC"	52	5
"APODIFORMES"	"APODIDAE"	"Apus"	"barbatus"	"African Black Swift"	"LC"	52	6
"APODIFORMES"	"APODIDAE"	"Apus"	"berliozi"	"Forbes-Watson's Swift"	"LC"	52	7
"APODIFORMES"	"APODIDAE"	"Apus"	"bradfieldi"	"Bradfield's Swift"	"LC"	52	8
"APODIFORMES"	"APODIDAE"	"Apus"	"balstoni"	"Madagascar Swift"	"LC"	52	9
"APODIFORMES"	"APODIDAE"	"Apus"	"pacificus"	"Fork-tailed Swift"	"LC"	52	10
